instance=54,n=100,m=50,d=5,type=B1
BinType:1 cost=1063
	no=4, value=345
	no=5, value=468
BinType:50 cost=2033
	no=1, value=468
	no=2, value=436
	no=3, value=492
	no=4, value=239
	no=5, value=398
Item: no=1
	no=1, value=72
	no=2, value=18
	no=3, value=42
	no=4, value=19
	no=5, value=37
Item: no=2
	no=1, value=22
	no=2, value=15
	no=3, value=93
	no=4, value=49
	no=5, value=39
Item: no=3
	no=1, value=49
	no=2, value=46
	no=3, value=20
	no=4, value=68
	no=5, value=94
Item: no=4
	no=1, value=5
	no=2, value=20
	no=3, value=6
	no=4, value=89
	no=5, value=93
Item: no=5
	no=1, value=43
	no=2, value=71
	no=3, value=22
	no=4, value=55
	no=5, value=6
Item: no=6
	no=1, value=86
	no=2, value=75
	no=3, value=9
	no=4, value=51
	no=5, value=34
Item: no=7
	no=1, value=96
	no=2, value=30
	no=3, value=97
	no=4, value=35
	no=5, value=91
Item: no=8
	no=1, value=45
	no=2, value=29
	no=3, value=27
	no=4, value=39
	no=5, value=33
Item: no=9
	no=1, value=15
	no=2, value=4
	no=3, value=60
	no=4, value=59
	no=5, value=83
Item: no=10
	no=1, value=56
	no=2, value=13
	no=3, value=45
	no=4, value=40
	no=5, value=18
Item: no=11
	no=1, value=66
	no=2, value=29
	no=3, value=66
	no=4, value=7
	no=5, value=38
Item: no=12
	no=1, value=68
	no=2, value=98
	no=3, value=59
	no=4, value=86
	no=5, value=64
Item: no=13
	no=1, value=68
	no=2, value=91
	no=3, value=36
	no=4, value=26
	no=5, value=11
Item: no=14
	no=1, value=55
	no=2, value=3
	no=3, value=94
	no=4, value=89
	no=5, value=43
Item: no=15
	no=1, value=99
	no=2, value=14
	no=3, value=52
	no=4, value=61
	no=5, value=76
Item: no=16
	no=1, value=40
	no=2, value=56
	no=3, value=35
	no=4, value=88
	no=5, value=35
Item: no=17
	no=1, value=93
	no=2, value=81
	no=3, value=34
	no=4, value=26
	no=5, value=56
Item: no=18
	no=1, value=89
	no=2, value=7
	no=3, value=67
	no=4, value=5
	no=5, value=86
Item: no=19
	no=1, value=88
	no=2, value=70
	no=3, value=91
	no=4, value=39
	no=5, value=90
Item: no=20
	no=1, value=33
	no=2, value=45
	no=3, value=95
	no=4, value=73
	no=5, value=58
Item: no=21
	no=1, value=89
	no=2, value=44
	no=3, value=19
	no=4, value=79
	no=5, value=74
Item: no=22
	no=1, value=46
	no=2, value=6
	no=3, value=14
	no=4, value=9
	no=5, value=62
Item: no=23
	no=1, value=46
	no=2, value=90
	no=3, value=60
	no=4, value=66
	no=5, value=66
Item: no=24
	no=1, value=88
	no=2, value=40
	no=3, value=45
	no=4, value=79
	no=5, value=80
Item: no=25
	no=1, value=58
	no=2, value=26
	no=3, value=75
	no=4, value=52
	no=5, value=80
Item: no=26
	no=1, value=9
	no=2, value=86
	no=3, value=46
	no=4, value=1
	no=5, value=26
Item: no=27
	no=1, value=19
	no=2, value=58
	no=3, value=31
	no=4, value=75
	no=5, value=97
Item: no=28
	no=1, value=79
	no=2, value=14
	no=3, value=54
	no=4, value=28
	no=5, value=7
Item: no=29
	no=1, value=60
	no=2, value=19
	no=3, value=16
	no=4, value=61
	no=5, value=42
Item: no=30
	no=1, value=22
	no=2, value=38
	no=3, value=35
	no=4, value=17
	no=5, value=37
Item: no=31
	no=1, value=75
	no=2, value=90
	no=3, value=74
	no=4, value=49
	no=5, value=58
Item: no=32
	no=1, value=6
	no=2, value=84
	no=3, value=41
	no=4, value=11
	no=5, value=24
Item: no=33
	no=1, value=71
	no=2, value=74
	no=3, value=51
	no=4, value=69
	no=5, value=28
Item: no=34
	no=1, value=39
	no=2, value=2
	no=3, value=24
	no=4, value=55
	no=5, value=96
Item: no=35
	no=1, value=86
	no=2, value=31
	no=3, value=63
	no=4, value=47
	no=5, value=36
Item: no=36
	no=1, value=46
	no=2, value=10
	no=3, value=85
	no=4, value=30
	no=5, value=42
Item: no=37
	no=1, value=38
	no=2, value=56
	no=3, value=88
	no=4, value=6
	no=5, value=95
Item: no=38
	no=1, value=7
	no=2, value=71
	no=3, value=92
	no=4, value=35
	no=5, value=42
Item: no=39
	no=1, value=10
	no=2, value=14
	no=3, value=90
	no=4, value=54
	no=5, value=1
Item: no=40
	no=1, value=84
	no=2, value=5
	no=3, value=96
	no=4, value=82
	no=5, value=66
Item: no=41
	no=1, value=91
	no=2, value=91
	no=3, value=11
	no=4, value=99
	no=5, value=10
Item: no=42
	no=1, value=11
	no=2, value=75
	no=3, value=30
	no=4, value=55
	no=5, value=35
Item: no=43
	no=1, value=55
	no=2, value=8
	no=3, value=33
	no=4, value=43
	no=5, value=13
Item: no=44
	no=1, value=54
	no=2, value=61
	no=3, value=31
	no=4, value=98
	no=5, value=60
Item: no=45
	no=1, value=70
	no=2, value=56
	no=3, value=34
	no=4, value=7
	no=5, value=9
Item: no=46
	no=1, value=17
	no=2, value=50
	no=3, value=84
	no=4, value=25
	no=5, value=3
Item: no=47
	no=1, value=16
	no=2, value=16
	no=3, value=5
	no=4, value=64
	no=5, value=59
Item: no=48
	no=1, value=62
	no=2, value=69
	no=3, value=83
	no=4, value=79
	no=5, value=53
Item: no=49
	no=1, value=87
	no=2, value=42
	no=3, value=8
	no=4, value=49
	no=5, value=40
Item: no=50
	no=1, value=30
	no=2, value=97
	no=3, value=6
	no=4, value=96
	no=5, value=55
Item: no=51
	no=1, value=39
	no=2, value=96
	no=3, value=79
	no=4, value=66
	no=5, value=92
Item: no=52
	no=1, value=13
	no=2, value=92
	no=3, value=33
	no=4, value=99
	no=5, value=51
Item: no=53
	no=1, value=45
	no=2, value=59
	no=3, value=71
	no=4, value=64
	no=5, value=70
Item: no=54
	no=1, value=90
	no=2, value=88
	no=3, value=61
	no=4, value=44
	no=5, value=63
Item: no=55
	no=1, value=43
	no=2, value=95
	no=3, value=36
	no=4, value=72
	no=5, value=40
Item: no=56
	no=1, value=19
	no=2, value=76
	no=3, value=11
	no=4, value=30
	no=5, value=17
Item: no=57
	no=1, value=35
	no=2, value=58
	no=3, value=83
	no=4, value=98
	no=5, value=75
Item: no=58
	no=1, value=19
	no=2, value=42
	no=3, value=61
	no=4, value=46
	no=5, value=90
Item: no=59
	no=1, value=54
	no=2, value=89
	no=3, value=89
	no=4, value=2
	no=5, value=1
Item: no=60
	no=1, value=49
	no=2, value=87
	no=3, value=50
	no=4, value=50
	no=5, value=23
Item: no=61
	no=1, value=55
	no=2, value=9
	no=3, value=11
	no=4, value=93
	no=5, value=91
Item: no=62
	no=1, value=96
	no=2, value=62
	no=3, value=42
	no=4, value=27
	no=5, value=35
Item: no=63
	no=1, value=31
	no=2, value=99
	no=3, value=56
	no=4, value=43
	no=5, value=23
Item: no=64
	no=1, value=74
	no=2, value=87
	no=3, value=74
	no=4, value=94
	no=5, value=28
Item: no=65
	no=1, value=64
	no=2, value=27
	no=3, value=37
	no=4, value=90
	no=5, value=58
Item: no=66
	no=1, value=98
	no=2, value=56
	no=3, value=31
	no=4, value=37
	no=5, value=13
Item: no=67
	no=1, value=8
	no=2, value=66
	no=3, value=49
	no=4, value=99
	no=5, value=95
Item: no=68
	no=1, value=76
	no=2, value=71
	no=3, value=32
	no=4, value=71
	no=5, value=89
Item: no=69
	no=1, value=57
	no=2, value=26
	no=3, value=94
	no=4, value=18
	no=5, value=60
Item: no=70
	no=1, value=26
	no=2, value=80
	no=3, value=63
	no=4, value=88
	no=5, value=80
Item: no=71
	no=1, value=52
	no=2, value=89
	no=3, value=4
	no=4, value=81
	no=5, value=28
Item: no=72
	no=1, value=3
	no=2, value=44
	no=3, value=86
	no=4, value=32
	no=5, value=9
Item: no=73
	no=1, value=59
	no=2, value=52
	no=3, value=84
	no=4, value=41
	no=5, value=32
Item: no=74
	no=1, value=30
	no=2, value=31
	no=3, value=34
	no=4, value=98
	no=5, value=9
Item: no=75
	no=1, value=96
	no=2, value=69
	no=3, value=57
	no=4, value=25
	no=5, value=32
Item: no=76
	no=1, value=11
	no=2, value=56
	no=3, value=65
	no=4, value=70
	no=5, value=86
Item: no=77
	no=1, value=33
	no=2, value=77
	no=3, value=71
	no=4, value=96
	no=5, value=84
Item: no=78
	no=1, value=72
	no=2, value=29
	no=3, value=44
	no=4, value=98
	no=5, value=29
Item: no=79
	no=1, value=30
	no=2, value=47
	no=3, value=61
	no=4, value=70
	no=5, value=31
Item: no=80
	no=1, value=83
	no=2, value=29
	no=3, value=13
	no=4, value=40
	no=5, value=4
Item: no=81
	no=1, value=20
	no=2, value=59
	no=3, value=82
	no=4, value=38
	no=5, value=5
Item: no=82
	no=1, value=58
	no=2, value=58
	no=3, value=33
	no=4, value=82
	no=5, value=5
Item: no=83
	no=1, value=77
	no=2, value=23
	no=3, value=38
	no=4, value=16
	no=5, value=43
Item: no=84
	no=1, value=76
	no=2, value=13
	no=3, value=2
	no=4, value=48
	no=5, value=26
Item: no=85
	no=1, value=96
	no=2, value=91
	no=3, value=52
	no=4, value=33
	no=5, value=46
Item: no=86
	no=1, value=69
	no=2, value=18
	no=3, value=11
	no=4, value=68
	no=5, value=26
Item: no=87
	no=1, value=37
	no=2, value=85
	no=3, value=39
	no=4, value=37
	no=5, value=82
Item: no=88
	no=1, value=53
	no=2, value=51
	no=3, value=35
	no=4, value=91
	no=5, value=28
Item: no=89
	no=1, value=45
	no=2, value=45
	no=3, value=65
	no=4, value=2
	no=5, value=69
Item: no=90
	no=1, value=12
	no=2, value=7
	no=3, value=60
	no=4, value=32
	no=5, value=81
Item: no=91
	no=1, value=18
	no=2, value=15
	no=3, value=48
	no=4, value=54
	no=5, value=17
Item: no=92
	no=1, value=64
	no=2, value=72
	no=3, value=26
	no=4, value=59
	no=5, value=23
Item: no=93
	no=1, value=88
	no=2, value=68
	no=3, value=44
	no=4, value=80
	no=5, value=81
Item: no=94
	no=1, value=53
	no=2, value=89
	no=3, value=32
	no=4, value=43
	no=5, value=63
Item: no=95
	no=1, value=84
	no=2, value=23
	no=3, value=95
	no=4, value=43
	no=5, value=10
Item: no=96
	no=1, value=30
	no=2, value=71
	no=3, value=21
	no=4, value=83
	no=5, value=34
Item: no=97
	no=1, value=95
	no=2, value=91
	no=3, value=30
	no=4, value=3
	no=5, value=20
Item: no=98
	no=1, value=38
	no=2, value=98
	no=3, value=56
	no=4, value=27
	no=5, value=7
Item: no=99
	no=1, value=56
	no=2, value=47
	no=3, value=73
	no=4, value=52
	no=5, value=46
Item: no=100
	no=1, value=55
	no=2, value=78
	no=3, value=45
	no=4, value=85
	no=5, value=46
Links between items
Link1: itemNo1=1, itemNo2=3, cost=22
Link2: itemNo1=1, itemNo2=11, cost=24
Link3: itemNo1=1, itemNo2=23, cost=93
Link4: itemNo1=1, itemNo2=26, cost=70
Link5: itemNo1=1, itemNo2=27, cost=94
Link6: itemNo1=1, itemNo2=28, cost=94
Link7: itemNo1=1, itemNo2=31, cost=41
Link8: itemNo1=1, itemNo2=35, cost=69
Link9: itemNo1=1, itemNo2=39, cost=75
Link10: itemNo1=1, itemNo2=40, cost=69
Link11: itemNo1=1, itemNo2=44, cost=45
Link12: itemNo1=1, itemNo2=59, cost=22
Link13: itemNo1=1, itemNo2=62, cost=28
Link14: itemNo1=1, itemNo2=66, cost=74
Link15: itemNo1=1, itemNo2=72, cost=1
Link16: itemNo1=1, itemNo2=73, cost=81
Link17: itemNo1=1, itemNo2=79, cost=46
Link18: itemNo1=1, itemNo2=81, cost=99
Link19: itemNo1=1, itemNo2=83, cost=4
Link20: itemNo1=1, itemNo2=93, cost=75
Link21: itemNo1=2, itemNo2=3, cost=91
Link22: itemNo1=2, itemNo2=9, cost=15
Link23: itemNo1=2, itemNo2=20, cost=11
Link24: itemNo1=2, itemNo2=23, cost=53
Link25: itemNo1=2, itemNo2=28, cost=6
Link26: itemNo1=2, itemNo2=34, cost=99
Link27: itemNo1=2, itemNo2=35, cost=73
Link28: itemNo1=2, itemNo2=48, cost=50
Link29: itemNo1=2, itemNo2=50, cost=2
Link30: itemNo1=2, itemNo2=54, cost=98
Link31: itemNo1=2, itemNo2=55, cost=30
Link32: itemNo1=2, itemNo2=60, cost=63
Link33: itemNo1=2, itemNo2=65, cost=22
Link34: itemNo1=2, itemNo2=81, cost=88
Link35: itemNo1=2, itemNo2=89, cost=68
Link36: itemNo1=2, itemNo2=92, cost=80
Link37: itemNo1=2, itemNo2=93, cost=6
Link38: itemNo1=2, itemNo2=97, cost=98
Link39: itemNo1=2, itemNo2=99, cost=98
Link40: itemNo1=3, itemNo2=8, cost=9
Link41: itemNo1=3, itemNo2=11, cost=95
Link42: itemNo1=3, itemNo2=12, cost=27
Link43: itemNo1=3, itemNo2=16, cost=86
Link44: itemNo1=3, itemNo2=21, cost=6
Link45: itemNo1=3, itemNo2=27, cost=27
Link46: itemNo1=3, itemNo2=30, cost=53
Link47: itemNo1=3, itemNo2=32, cost=86
Link48: itemNo1=3, itemNo2=38, cost=46
Link49: itemNo1=3, itemNo2=39, cost=17
Link50: itemNo1=3, itemNo2=41, cost=65
Link51: itemNo1=3, itemNo2=55, cost=67
Link52: itemNo1=3, itemNo2=61, cost=89
Link53: itemNo1=3, itemNo2=67, cost=21
Link54: itemNo1=3, itemNo2=68, cost=43
Link55: itemNo1=3, itemNo2=70, cost=41
Link56: itemNo1=3, itemNo2=76, cost=64
Link57: itemNo1=3, itemNo2=79, cost=72
Link58: itemNo1=3, itemNo2=80, cost=79
Link59: itemNo1=3, itemNo2=84, cost=40
Link60: itemNo1=3, itemNo2=90, cost=12
Link61: itemNo1=4, itemNo2=1, cost=42
Link62: itemNo1=4, itemNo2=6, cost=14
Link63: itemNo1=4, itemNo2=7, cost=40
Link64: itemNo1=4, itemNo2=14, cost=30
Link65: itemNo1=4, itemNo2=18, cost=94
Link66: itemNo1=4, itemNo2=20, cost=48
Link67: itemNo1=4, itemNo2=28, cost=57
Link68: itemNo1=4, itemNo2=31, cost=62
Link69: itemNo1=4, itemNo2=36, cost=13
Link70: itemNo1=4, itemNo2=45, cost=32
Link71: itemNo1=4, itemNo2=49, cost=52
Link72: itemNo1=4, itemNo2=52, cost=3
Link73: itemNo1=4, itemNo2=55, cost=4
Link74: itemNo1=4, itemNo2=60, cost=87
Link75: itemNo1=4, itemNo2=65, cost=61
Link76: itemNo1=4, itemNo2=74, cost=87
Link77: itemNo1=4, itemNo2=83, cost=76
Link78: itemNo1=4, itemNo2=89, cost=32
Link79: itemNo1=4, itemNo2=94, cost=72
Link80: itemNo1=4, itemNo2=95, cost=47
Link81: itemNo1=4, itemNo2=96, cost=69
Link82: itemNo1=4, itemNo2=99, cost=74
Link83: itemNo1=5, itemNo2=1, cost=89
Link84: itemNo1=5, itemNo2=11, cost=15
Link85: itemNo1=5, itemNo2=13, cost=57
Link86: itemNo1=5, itemNo2=15, cost=35
Link87: itemNo1=5, itemNo2=28, cost=3
Link88: itemNo1=5, itemNo2=29, cost=70
Link89: itemNo1=5, itemNo2=36, cost=19
Link90: itemNo1=5, itemNo2=40, cost=72
Link91: itemNo1=5, itemNo2=44, cost=61
Link92: itemNo1=5, itemNo2=46, cost=69
Link93: itemNo1=5, itemNo2=52, cost=36
Link94: itemNo1=5, itemNo2=66, cost=5
Link95: itemNo1=5, itemNo2=72, cost=44
Link96: itemNo1=5, itemNo2=75, cost=68
Link97: itemNo1=5, itemNo2=76, cost=85
Link98: itemNo1=5, itemNo2=78, cost=70
Link99: itemNo1=5, itemNo2=79, cost=80
Link100: itemNo1=5, itemNo2=80, cost=2
Link101: itemNo1=5, itemNo2=82, cost=81
Link102: itemNo1=5, itemNo2=83, cost=56
Link103: itemNo1=5, itemNo2=86, cost=69
Link104: itemNo1=5, itemNo2=95, cost=94
Link105: itemNo1=6, itemNo2=7, cost=61
Link106: itemNo1=6, itemNo2=16, cost=4
Link107: itemNo1=6, itemNo2=25, cost=3
Link108: itemNo1=6, itemNo2=31, cost=35
Link109: itemNo1=6, itemNo2=32, cost=46
Link110: itemNo1=6, itemNo2=48, cost=82
Link111: itemNo1=6, itemNo2=49, cost=75
Link112: itemNo1=6, itemNo2=51, cost=96
Link113: itemNo1=6, itemNo2=58, cost=62
Link114: itemNo1=6, itemNo2=61, cost=96
Link115: itemNo1=6, itemNo2=66, cost=49
Link116: itemNo1=6, itemNo2=67, cost=74
Link117: itemNo1=6, itemNo2=72, cost=33
Link118: itemNo1=6, itemNo2=73, cost=73
Link119: itemNo1=6, itemNo2=76, cost=49
Link120: itemNo1=6, itemNo2=77, cost=31
Link121: itemNo1=6, itemNo2=88, cost=35
Link122: itemNo1=6, itemNo2=90, cost=16
Link123: itemNo1=6, itemNo2=93, cost=46
Link124: itemNo1=6, itemNo2=98, cost=97
Link125: itemNo1=7, itemNo2=9, cost=86
Link126: itemNo1=7, itemNo2=11, cost=69
Link127: itemNo1=7, itemNo2=19, cost=38
Link128: itemNo1=7, itemNo2=20, cost=78
Link129: itemNo1=7, itemNo2=22, cost=10
Link130: itemNo1=7, itemNo2=26, cost=46
Link131: itemNo1=7, itemNo2=39, cost=80
Link132: itemNo1=7, itemNo2=43, cost=84
Link133: itemNo1=7, itemNo2=51, cost=31
Link134: itemNo1=7, itemNo2=53, cost=43
Link135: itemNo1=7, itemNo2=55, cost=4
Link136: itemNo1=7, itemNo2=65, cost=83
Link137: itemNo1=7, itemNo2=68, cost=53
Link138: itemNo1=7, itemNo2=77, cost=16
Link139: itemNo1=7, itemNo2=90, cost=12
Link140: itemNo1=7, itemNo2=93, cost=54
Link141: itemNo1=7, itemNo2=95, cost=92
Link142: itemNo1=8, itemNo2=2, cost=78
Link143: itemNo1=8, itemNo2=3, cost=51
Link144: itemNo1=8, itemNo2=4, cost=72
Link145: itemNo1=8, itemNo2=7, cost=45
Link146: itemNo1=8, itemNo2=11, cost=50
Link147: itemNo1=8, itemNo2=13, cost=60
Link148: itemNo1=8, itemNo2=19, cost=54
Link149: itemNo1=8, itemNo2=21, cost=62
Link150: itemNo1=8, itemNo2=23, cost=59
Link151: itemNo1=8, itemNo2=31, cost=46
Link152: itemNo1=8, itemNo2=37, cost=37
Link153: itemNo1=8, itemNo2=39, cost=80
Link154: itemNo1=8, itemNo2=42, cost=1
Link155: itemNo1=8, itemNo2=46, cost=97
Link156: itemNo1=8, itemNo2=50, cost=1
Link157: itemNo1=8, itemNo2=51, cost=83
Link158: itemNo1=8, itemNo2=54, cost=17
Link159: itemNo1=8, itemNo2=62, cost=11
Link160: itemNo1=8, itemNo2=66, cost=68
Link161: itemNo1=8, itemNo2=68, cost=71
Link162: itemNo1=8, itemNo2=77, cost=96
Link163: itemNo1=8, itemNo2=78, cost=34
Link164: itemNo1=8, itemNo2=82, cost=10
Link165: itemNo1=8, itemNo2=83, cost=50
Link166: itemNo1=8, itemNo2=92, cost=9
Link167: itemNo1=9, itemNo2=8, cost=48
Link168: itemNo1=9, itemNo2=16, cost=41
Link169: itemNo1=9, itemNo2=18, cost=83
Link170: itemNo1=9, itemNo2=26, cost=69
Link171: itemNo1=9, itemNo2=30, cost=64
Link172: itemNo1=9, itemNo2=36, cost=33
Link173: itemNo1=9, itemNo2=46, cost=58
Link174: itemNo1=9, itemNo2=47, cost=87
Link175: itemNo1=9, itemNo2=53, cost=7
Link176: itemNo1=9, itemNo2=56, cost=92
Link177: itemNo1=9, itemNo2=63, cost=85
Link178: itemNo1=9, itemNo2=64, cost=44
Link179: itemNo1=9, itemNo2=67, cost=76
Link180: itemNo1=9, itemNo2=79, cost=12
Link181: itemNo1=9, itemNo2=80, cost=66
Link182: itemNo1=9, itemNo2=83, cost=83
Link183: itemNo1=9, itemNo2=91, cost=83
Link184: itemNo1=9, itemNo2=92, cost=98
Link185: itemNo1=9, itemNo2=93, cost=68
Link186: itemNo1=10, itemNo2=2, cost=21
Link187: itemNo1=10, itemNo2=4, cost=49
Link188: itemNo1=10, itemNo2=9, cost=43
Link189: itemNo1=10, itemNo2=13, cost=38
Link190: itemNo1=10, itemNo2=15, cost=26
Link191: itemNo1=10, itemNo2=17, cost=38
Link192: itemNo1=10, itemNo2=18, cost=2
Link193: itemNo1=10, itemNo2=22, cost=73
Link194: itemNo1=10, itemNo2=25, cost=42
Link195: itemNo1=10, itemNo2=26, cost=7
Link196: itemNo1=10, itemNo2=32, cost=95
Link197: itemNo1=10, itemNo2=41, cost=39
Link198: itemNo1=10, itemNo2=48, cost=70
Link199: itemNo1=10, itemNo2=49, cost=48
Link200: itemNo1=10, itemNo2=52, cost=1
Link201: itemNo1=10, itemNo2=62, cost=3
Link202: itemNo1=10, itemNo2=66, cost=65
Link203: itemNo1=10, itemNo2=69, cost=1
Link204: itemNo1=10, itemNo2=74, cost=81
Link205: itemNo1=10, itemNo2=75, cost=3
Link206: itemNo1=10, itemNo2=87, cost=49
Link207: itemNo1=10, itemNo2=88, cost=73
Link208: itemNo1=10, itemNo2=89, cost=34
Link209: itemNo1=10, itemNo2=94, cost=21
Link210: itemNo1=10, itemNo2=96, cost=69
Link211: itemNo1=11, itemNo2=10, cost=68
Link212: itemNo1=11, itemNo2=18, cost=58
Link213: itemNo1=11, itemNo2=25, cost=80
Link214: itemNo1=11, itemNo2=28, cost=37
Link215: itemNo1=11, itemNo2=30, cost=62
Link216: itemNo1=11, itemNo2=31, cost=17
Link217: itemNo1=11, itemNo2=38, cost=48
Link218: itemNo1=11, itemNo2=40, cost=52
Link219: itemNo1=11, itemNo2=47, cost=94
Link220: itemNo1=11, itemNo2=49, cost=8
Link221: itemNo1=11, itemNo2=51, cost=42
Link222: itemNo1=11, itemNo2=56, cost=92
Link223: itemNo1=11, itemNo2=59, cost=84
Link224: itemNo1=11, itemNo2=61, cost=51
Link225: itemNo1=11, itemNo2=63, cost=46
Link226: itemNo1=11, itemNo2=65, cost=60
Link227: itemNo1=11, itemNo2=66, cost=71
Link228: itemNo1=11, itemNo2=71, cost=79
Link229: itemNo1=11, itemNo2=83, cost=59
Link230: itemNo1=11, itemNo2=84, cost=55
Link231: itemNo1=11, itemNo2=90, cost=74
Link232: itemNo1=11, itemNo2=91, cost=19
Link233: itemNo1=11, itemNo2=92, cost=74
Link234: itemNo1=11, itemNo2=96, cost=11
Link235: itemNo1=11, itemNo2=97, cost=16
