instance=47,n=50,m=20,d=5,type=B4
BinType:1 cost=934
Link7: itemNo1=1, itemNo2=31, cost=41
Link8: itemNo1=1, itemNo2=35, cost=69
Link9: itemNo1=1, itemNo2=39, cost=75
Link10: itemNo1=1, itemNo2=40, cost=69
Link11: itemNo1=1, itemNo2=44, cost=45
Link12: itemNo1=2, itemNo2=3, cost=91
Link13: itemNo1=2, itemNo2=9, cost=15
Link14: itemNo1=2, itemNo2=20, cost=11
Link15: itemNo1=2, itemNo2=23, cost=53
Link16: itemNo1=2, itemNo2=28, cost=6
Link17: itemNo1=2, itemNo2=34, cost=99
Link18: itemNo1=2, itemNo2=35, cost=73
Link19: itemNo1=2, itemNo2=48, cost=50
Link20: itemNo1=2, itemNo2=50, cost=2
Link21: itemNo1=3, itemNo2=8, cost=9
Link22: itemNo1=3, itemNo2=11, cost=95
Link23: itemNo1=3, itemNo2=12, cost=27
Link24: itemNo1=3, itemNo2=16, cost=86
Link25: itemNo1=3, itemNo2=21, cost=6
Link26: itemNo1=3, itemNo2=27, cost=27
Link27: itemNo1=3, itemNo2=30, cost=53
Link28: itemNo1=3, itemNo2=32, cost=86
Link29: itemNo1=3, itemNo2=38, cost=46
Link30: itemNo1=3, itemNo2=39, cost=17
Link31: itemNo1=3, itemNo2=41, cost=65
Link32: itemNo1=4, itemNo2=1, cost=42
Link33: itemNo1=4, itemNo2=6, cost=14
Link34: itemNo1=4, itemNo2=7, cost=40
Link35: itemNo1=4, itemNo2=14, cost=30
Link36: itemNo1=4, itemNo2=18, cost=94
Link37: itemNo1=4, itemNo2=20, cost=48
Link38: itemNo1=4, itemNo2=28, cost=57
Link39: itemNo1=4, itemNo2=31, cost=62
Link40: itemNo1=4, itemNo2=36, cost=13
Link41: itemNo1=4, itemNo2=45, cost=32
Link42: itemNo1=4, itemNo2=49, cost=52
Link43: itemNo1=5, itemNo2=1, cost=89
Link44: itemNo1=5, itemNo2=11, cost=15
Link45: itemNo1=5, itemNo2=13, cost=57
Link46: itemNo1=5, itemNo2=15, cost=35
Link47: itemNo1=5, itemNo2=28, cost=3
Link48: itemNo1=5, itemNo2=29, cost=70
Link49: itemNo1=5, itemNo2=36, cost=19
Link50: itemNo1=5, itemNo2=40, cost=72
Link51: itemNo1=5, itemNo2=44, cost=61
Link52: itemNo1=5, itemNo2=46, cost=69
Link53: itemNo1=6, itemNo2=7, cost=61
Link54: itemNo1=6, itemNo2=16, cost=4
Link55: itemNo1=6, itemNo2=25, cost=3
Link56: itemNo1=6, itemNo2=31, cost=35
Link57: itemNo1=6, itemNo2=32, cost=46
Link58: itemNo1=6, itemNo2=48, cost=82
Link59: itemNo1=6, itemNo2=49, cost=75
Link60: itemNo1=7, itemNo2=9, cost=86
Link61: itemNo1=7, itemNo2=11, cost=69
Link62: itemNo1=7, itemNo2=19, cost=38
Link63: itemNo1=7, itemNo2=20, cost=78
Link64: itemNo1=7, itemNo2=22, cost=10
Link65: itemNo1=7, itemNo2=26, cost=46
Link66: itemNo1=7, itemNo2=39, cost=80
Link67: itemNo1=7, itemNo2=43, cost=84
Link68: itemNo1=8, itemNo2=2, cost=78
Link69: itemNo1=8, itemNo2=3, cost=51
Link70: itemNo1=8, itemNo2=4, cost=72
Link71: itemNo1=8, itemNo2=7, cost=45
Link72: itemNo1=8, itemNo2=11, cost=50
Link73: itemNo1=8, itemNo2=13, cost=60
Link74: itemNo1=8, itemNo2=19, cost=54
Link75: itemNo1=8, itemNo2=21, cost=62
Link76: itemNo1=8, itemNo2=23, cost=59
Link77: itemNo1=8, itemNo2=31, cost=46
Link78: itemNo1=8, itemNo2=37, cost=37
Link79: itemNo1=8, itemNo2=39, cost=80
Link80: itemNo1=8, itemNo2=42, cost=1
Link81: itemNo1=8, itemNo2=46, cost=97
Link82: itemNo1=8, itemNo2=50, cost=1
Link83: itemNo1=9, itemNo2=8, cost=48
Link84: itemNo1=9, itemNo2=16, cost=41
Link85: itemNo1=9, itemNo2=18, cost=83
Link86: itemNo1=9, itemNo2=26, cost=69
Link87: itemNo1=9, itemNo2=30, cost=64
Link88: itemNo1=9, itemNo2=36, cost=33
Link89: itemNo1=9, itemNo2=46, cost=58
Link90: itemNo1=9, itemNo2=47, cost=87
Link91: itemNo1=10, itemNo2=2, cost=21
Link92: itemNo1=10, itemNo2=4, cost=49
Link93: itemNo1=10, itemNo2=9, cost=43
Link94: itemNo1=10, itemNo2=13, cost=38
Link95: itemNo1=10, itemNo2=15, cost=26
Link96: itemNo1=10, itemNo2=17, cost=38
Link97: itemNo1=10, itemNo2=18, cost=2
Link98: itemNo1=10, itemNo2=22, cost=73
Link99: itemNo1=10, itemNo2=25, cost=42
Link100: itemNo1=10, itemNo2=26, cost=7
Link101: itemNo1=10, itemNo2=32, cost=95
Link102: itemNo1=10, itemNo2=41, cost=39
Link103: itemNo1=10, itemNo2=48, cost=70
Link104: itemNo1=10, itemNo2=49, cost=48
Link105: itemNo1=11, itemNo2=10, cost=68
Link106: itemNo1=11, itemNo2=18, cost=58
Link107: itemNo1=11, itemNo2=25, cost=80
Link108: itemNo1=11, itemNo2=28, cost=37
Link109: itemNo1=11, itemNo2=30, cost=62
Link110: itemNo1=11, itemNo2=31, cost=17
Link111: itemNo1=11, itemNo2=38, cost=48
Link112: itemNo1=11, itemNo2=40, cost=52
Link113: itemNo1=11, itemNo2=47, cost=94
Link114: itemNo1=11, itemNo2=49, cost=8
Link115: itemNo1=12, itemNo2=3, cost=1
Link116: itemNo1=12, itemNo2=6, cost=86
Link117: itemNo1=12, itemNo2=27, cost=42
Link118: itemNo1=12, itemNo2=28, cost=61
Link119: itemNo1=12, itemNo2=33, cost=26
Link120: itemNo1=12, itemNo2=34, cost=85
Link121: itemNo1=12, itemNo2=40, cost=71
Link122: itemNo1=12, itemNo2=43, cost=71
Link123: itemNo1=12, itemNo2=50, cost=46
Link124: itemNo1=13, itemNo2=5, cost=30
Link125: itemNo1=13, itemNo2=16, cost=24
Link126: itemNo1=13, itemNo2=17, cost=81
Link127: itemNo1=13, itemNo2=22, cost=28
Link128: itemNo1=13, itemNo2=23, cost=85
Link129: itemNo1=13, itemNo2=28, cost=45
Link130: itemNo1=13, itemNo2=30, cost=61
Link131: itemNo1=14, itemNo2=1, cost=80
Link132: itemNo1=14, itemNo2=4, cost=9
Link133: itemNo1=14, itemNo2=6, cost=44
Link134: itemNo1=14, itemNo2=8, cost=22
Link135: itemNo1=14, itemNo2=10, cost=38
Link136: itemNo1=14, itemNo2=15, cost=69
Link137: itemNo1=14, itemNo2=16, cost=63
Link138: itemNo1=14, itemNo2=19, cost=83
Link139: itemNo1=14, itemNo2=20, cost=79
Link140: itemNo1=14, itemNo2=27, cost=11
Link141: itemNo1=14, itemNo2=36, cost=82
Link142: itemNo1=14, itemNo2=49, cost=93
Link143: itemNo1=15, itemNo2=4, cost=34
Link144: itemNo1=15, itemNo2=7, cost=15
Link145: itemNo1=15, itemNo2=12, cost=17
Link146: itemNo1=15, itemNo2=19, cost=40
Link147: itemNo1=15, itemNo2=20, cost=46
Link148: itemNo1=15, itemNo2=22, cost=33
Link149: itemNo1=15, itemNo2=26, cost=63
Link150: itemNo1=15, itemNo2=32, cost=32
Link151: itemNo1=15, itemNo2=38, cost=62
Link152: itemNo1=15, itemNo2=50, cost=5
Link153: itemNo1=16, itemNo2=1, cost=75
Link154: itemNo1=16, itemNo2=3, cost=84
Link155: itemNo1=16, itemNo2=4, cost=63
Link156: itemNo1=16, itemNo2=19, cost=69
Link157: itemNo1=16, itemNo2=21, cost=35
Link158: itemNo1=16, itemNo2=24, cost=71
Link159: itemNo1=16, itemNo2=26, cost=97
Link160: itemNo1=16, itemNo2=27, cost=31
Link161: itemNo1=16, itemNo2=33, cost=55
Link162: itemNo1=16, itemNo2=49, cost=42
Link163: itemNo1=17, itemNo2=3, cost=35
Link164: itemNo1=17, itemNo2=5, cost=73
Link165: itemNo1=17, itemNo2=6, cost=26
Link166: itemNo1=17, itemNo2=15, cost=83
Link167: itemNo1=17, itemNo2=16, cost=52
Link168: itemNo1=17, itemNo2=24, cost=65
Link169: itemNo1=17, itemNo2=26, cost=11
Link170: itemNo1=17, itemNo2=32, cost=7
Link171: itemNo1=17, itemNo2=33, cost=81
Link172: itemNo1=17, itemNo2=37, cost=66
Link173: itemNo1=17, itemNo2=40, cost=79
Link174: itemNo1=17, itemNo2=41, cost=4
Link175: itemNo1=17, itemNo2=43, cost=87
Link176: itemNo1=17, itemNo2=44, cost=17
Link177: itemNo1=17, itemNo2=49, cost=70
Link178: itemNo1=18, itemNo2=3, cost=43
Link179: itemNo1=18, itemNo2=10, cost=3
Link180: itemNo1=18, itemNo2=11, cost=12
Link181: itemNo1=18, itemNo2=13, cost=68
Link182: itemNo1=18, itemNo2=24, cost=21
Link183: itemNo1=18, itemNo2=25, cost=64
Link184: itemNo1=18, itemNo2=27, cost=35
Link185: itemNo1=18, itemNo2=36, cost=3
Link186: itemNo1=18, itemNo2=44, cost=30
Link187: itemNo1=19, itemNo2=2, cost=13
Link188: itemNo1=19, itemNo2=3, cost=5
Link189: itemNo1=19, itemNo2=11, cost=3
Link190: itemNo1=19, itemNo2=13, cost=4
Link191: itemNo1=19, itemNo2=14, cost=54
Link192: itemNo1=19, itemNo2=15, cost=99
Link193: itemNo1=19, itemNo2=16, cost=58
Link194: itemNo1=19, itemNo2=20, cost=88
Link195: itemNo1=19, itemNo2=23, cost=72
Link196: itemNo1=19, itemNo2=48, cost=6
Link197: itemNo1=20, itemNo2=17, cost=37
Link198: itemNo1=20, itemNo2=18, cost=61
Link199: itemNo1=20, itemNo2=22, cost=8
Link200: itemNo1=20, itemNo2=27, cost=58
Link201: itemNo1=20, itemNo2=28, cost=41
Link202: itemNo1=20, itemNo2=32, cost=52
Link203: itemNo1=20, itemNo2=33, cost=14
Link204: itemNo1=20, itemNo2=42, cost=85
Link205: itemNo1=20, itemNo2=46, cost=78
Link206: itemNo1=21, itemNo2=3, cost=63
Link207: itemNo1=21, itemNo2=6, cost=89
Link208: itemNo1=21, itemNo2=7, cost=60
Link209: itemNo1=21, itemNo2=8, cost=11
Link210: itemNo1=21, itemNo2=10, cost=64
Link211: itemNo1=21, itemNo2=23, cost=67
Link212: itemNo1=21, itemNo2=25, cost=8
Link213: itemNo1=21, itemNo2=30, cost=59
Link214: itemNo1=21, itemNo2=38, cost=73
Link215: itemNo1=21, itemNo2=43, cost=6
Link216: itemNo1=21, itemNo2=45, cost=31
Link217: itemNo1=21, itemNo2=48, cost=66
Link218: itemNo1=22, itemNo2=2, cost=94
Link219: itemNo1=22, itemNo2=7, cost=40
Link220: itemNo1=22, itemNo2=11, cost=75
Link221: itemNo1=22, itemNo2=15, cost=12
Link222: itemNo1=22, itemNo2=21, cost=95
Link223: itemNo1=22, itemNo2=26, cost=86
Link224: itemNo1=22, itemNo2=28, cost=71
Link225: itemNo1=22, itemNo2=29, cost=85
Link226: itemNo1=22, itemNo2=31, cost=83
Link227: itemNo1=22, itemNo2=35, cost=81
Link228: itemNo1=22, itemNo2=37, cost=93
Link229: itemNo1=22, itemNo2=45, cost=41
Link230: itemNo1=22, itemNo2=47, cost=5
Link231: itemNo1=22, itemNo2=48, cost=51
Link232: itemNo1=22, itemNo2=50, cost=81
Link233: itemNo1=23, itemNo2=2, cost=87
Link234: itemNo1=23, itemNo2=11, cost=97
Link235: itemNo1=23, itemNo2=12, cost=26
Link236: itemNo1=23, itemNo2=18, cost=43
Link237: itemNo1=23, itemNo2=19, cost=83
Link238: itemNo1=23, itemNo2=21, cost=52
Link239: itemNo1=23, itemNo2=25, cost=76
Link240: itemNo1=23, itemNo2=32, cost=35
Link241: itemNo1=23, itemNo2=39, cost=44
Link242: itemNo1=23, itemNo2=48, cost=42
Link243: itemNo1=24, itemNo2=10, cost=50
Link244: itemNo1=24, itemNo2=17, cost=83
Link245: itemNo1=24, itemNo2=21, cost=29
Link246: itemNo1=24, itemNo2=25, cost=29
Link247: itemNo1=24, itemNo2=29, cost=39
Link248: itemNo1=24, itemNo2=33, cost=77
Link249: itemNo1=24, itemNo2=36, cost=36
Link250: itemNo1=24, itemNo2=47, cost=26
Link251: itemNo1=25, itemNo2=2, cost=91
Link252: itemNo1=25, itemNo2=15, cost=16
Link253: itemNo1=25, itemNo2=17, cost=32
Link254: itemNo1=25, itemNo2=18, cost=37
Link255: itemNo1=25, itemNo2=27, cost=1
Link256: itemNo1=25, itemNo2=29, cost=6
Link257: itemNo1=25, itemNo2=32, cost=65
Link258: itemNo1=25, itemNo2=35, cost=95
Link259: itemNo1=25, itemNo2=48, cost=7
Link260: itemNo1=25, itemNo2=49, cost=63
Link261: itemNo1=26, itemNo2=11, cost=66
Link262: itemNo1=26, itemNo2=12, cost=95
Link263: itemNo1=26, itemNo2=16, cost=55
Link264: itemNo1=26, itemNo2=19, cost=93
Link265: itemNo1=26, itemNo2=20, cost=14
Link266: itemNo1=26, itemNo2=21, cost=12
Link267: itemNo1=26, itemNo2=28, cost=24
Link268: itemNo1=26, itemNo2=29, cost=70
Link269: itemNo1=26, itemNo2=34, cost=65
Link270: itemNo1=26, itemNo2=38, cost=43
Link271: itemNo1=26, itemNo2=40, cost=57
Link272: itemNo1=26, itemNo2=42, cost=37
Link273: itemNo1=26, itemNo2=43, cost=65
Link274: itemNo1=27, itemNo2=2, cost=69
Link275: itemNo1=27, itemNo2=16, cost=96
Link276: itemNo1=27, itemNo2=19, cost=55
Link277: itemNo1=27, itemNo2=32, cost=85
Link278: itemNo1=27, itemNo2=33, cost=78
Link279: itemNo1=27, itemNo2=41, cost=94
Link280: itemNo1=27, itemNo2=44, cost=39
Link281: itemNo1=28, itemNo2=9, cost=52
Link282: itemNo1=28, itemNo2=11, cost=42
Link283: itemNo1=28, itemNo2=15, cost=47
Link284: itemNo1=28, itemNo2=18, cost=19
Link285: itemNo1=28, itemNo2=22, cost=80
Link286: itemNo1=28, itemNo2=23, cost=63
Link287: itemNo1=28, itemNo2=26, cost=15
Link288: itemNo1=28, itemNo2=45, cost=12
Link289: itemNo1=28, itemNo2=46, cost=5
Link290: itemNo1=29, itemNo2=6, cost=25
Link291: itemNo1=29, itemNo2=22, cost=28
Link292: itemNo1=29, itemNo2=23, cost=91
Link293: itemNo1=29, itemNo2=24, cost=92
Link294: itemNo1=29, itemNo2=26, cost=93
Link295: itemNo1=29, itemNo2=27, cost=72
Link296: itemNo1=30, itemNo2=1, cost=44
Link297: itemNo1=30, itemNo2=6, cost=60
Link298: itemNo1=30, itemNo2=7, cost=32
Link299: itemNo1=30, itemNo2=16, cost=82
Link300: itemNo1=30, itemNo2=18, cost=68
Link301: itemNo1=30, itemNo2=19, cost=51
Link302: itemNo1=30, itemNo2=25, cost=31
Link303: itemNo1=30, itemNo2=31, cost=40
Link304: itemNo1=30, itemNo2=37, cost=58
Link305: itemNo1=30, itemNo2=40, cost=12
Link306: itemNo1=30, itemNo2=44, cost=2
Link307: itemNo1=30, itemNo2=48, cost=8
Link308: itemNo1=31, itemNo2=9, cost=32
Link309: itemNo1=31, itemNo2=14, cost=77
Link310: itemNo1=31, itemNo2=16, cost=96
Link311: itemNo1=31, itemNo2=19, cost=83
Link312: itemNo1=31, itemNo2=22, cost=55
Link313: itemNo1=31, itemNo2=26, cost=88
Link314: itemNo1=31, itemNo2=27, cost=24
Link315: itemNo1=31, itemNo2=28, cost=19
Link316: itemNo1=31, itemNo2=34, cost=43
Link317: itemNo1=31, itemNo2=38, cost=29
Link318: itemNo1=32, itemNo2=2, cost=80
Link319: itemNo1=32, itemNo2=3, cost=7
Link320: itemNo1=32, itemNo2=6, cost=37
Link321: itemNo1=32, itemNo2=15, cost=99
Link322: itemNo1=32, itemNo2=17, cost=94
Link323: itemNo1=32, itemNo2=23, cost=41
Link324: itemNo1=32, itemNo2=25, cost=48
Link325: itemNo1=32, itemNo2=27, cost=59
Link326: itemNo1=32, itemNo2=31, cost=69
Link327: itemNo1=32, itemNo2=33, cost=95
Link328: itemNo1=32, itemNo2=48, cost=33
Link329: itemNo1=32, itemNo2=50, cost=24
Link330: itemNo1=33, itemNo2=10, cost=97
Link331: itemNo1=33, itemNo2=14, cost=98
Link332: itemNo1=33, itemNo2=18, cost=56
Link333: itemNo1=33, itemNo2=19, cost=24
Link334: itemNo1=33, itemNo2=26, cost=39
Link335: itemNo1=33, itemNo2=32, cost=42
Link336: itemNo1=33, itemNo2=44, cost=56
Link337: itemNo1=33, itemNo2=47, cost=97
Link338: itemNo1=33, itemNo2=50, cost=68
Link339: itemNo1=34, itemNo2=6, cost=86
Link340: itemNo1=34, itemNo2=13, cost=42
Link341: itemNo1=34, itemNo2=21, cost=67
Link342: itemNo1=34, itemNo2=24, cost=18
Link343: itemNo1=34, itemNo2=26, cost=79
Link344: itemNo1=34, itemNo2=36, cost=55
Link345: itemNo1=34, itemNo2=37, cost=72
Link346: itemNo1=34, itemNo2=42, cost=45
Link347: itemNo1=34, itemNo2=43, cost=97
Link348: itemNo1=34, itemNo2=44, cost=56
Link349: itemNo1=34, itemNo2=46, cost=83
Link350: itemNo1=35, itemNo2=6, cost=5
Link351: itemNo1=35, itemNo2=16, cost=9
Link352: itemNo1=35, itemNo2=19, cost=87
Link353: itemNo1=35, itemNo2=33, cost=66
Link354: itemNo1=35, itemNo2=36, cost=97
Link355: itemNo1=35, itemNo2=37, cost=39
Link356: itemNo1=35, itemNo2=39, cost=7
Link357: itemNo1=35, itemNo2=40, cost=77
Link358: itemNo1=35, itemNo2=45, cost=51
Link359: itemNo1=36, itemNo2=4, cost=50
Link360: itemNo1=36, itemNo2=9, cost=32
Link361: itemNo1=36, itemNo2=15, cost=2
Link362: itemNo1=36, itemNo2=16, cost=24
Link363: itemNo1=36, itemNo2=18, cost=29
Link364: itemNo1=36, itemNo2=19, cost=26
Link365: itemNo1=36, itemNo2=26, cost=79
Link366: itemNo1=36, itemNo2=30, cost=66
Link367: itemNo1=36, itemNo2=31, cost=18
Link368: itemNo1=36, itemNo2=32, cost=89
Link369: itemNo1=36, itemNo2=33, cost=55
Link370: itemNo1=36, itemNo2=34, cost=6
Link371: itemNo1=36, itemNo2=39, cost=6
Link372: itemNo1=36, itemNo2=48, cost=63
Link373: itemNo1=36, itemNo2=49, cost=18
Link374: itemNo1=37, itemNo2=4, cost=76
Link375: itemNo1=37, itemNo2=5, cost=51
Link376: itemNo1=37, itemNo2=15, cost=76
Link377: itemNo1=37, itemNo2=23, cost=23
Link378: itemNo1=37, itemNo2=41, cost=94
Link379: itemNo1=37, itemNo2=43, cost=73
Link380: itemNo1=37, itemNo2=45, cost=60
Link381: itemNo1=38, itemNo2=11, cost=46
Link382: itemNo1=38, itemNo2=15, cost=87
Link383: itemNo1=38, itemNo2=17, cost=26
Link384: itemNo1=38, itemNo2=21, cost=95
Link385: itemNo1=38, itemNo2=27, cost=29
Link386: itemNo1=38, itemNo2=29, cost=57
Link387: itemNo1=38, itemNo2=33, cost=91
Link388: itemNo1=38, itemNo2=35, cost=26
Link389: itemNo1=38, itemNo2=39, cost=62
Link390: itemNo1=39, itemNo2=1, cost=50
Link391: itemNo1=39, itemNo2=6, cost=98
Link392: itemNo1=39, itemNo2=19, cost=49
Link393: itemNo1=39, itemNo2=30, cost=93
Link394: itemNo1=39, itemNo2=31, cost=84
Link395: itemNo1=39, itemNo2=40, cost=65
Link396: itemNo1=39, itemNo2=44, cost=65
Link397: itemNo1=39, itemNo2=49, cost=93
Link398: itemNo1=40, itemNo2=3, cost=64
Link399: itemNo1=40, itemNo2=9, cost=50
Link400: itemNo1=40, itemNo2=15, cost=10
Link401: itemNo1=40, itemNo2=16, cost=70
Link402: itemNo1=40, itemNo2=29, cost=24
Link403: itemNo1=40, itemNo2=31, cost=29
Link404: itemNo1=40, itemNo2=42, cost=16
Link405: itemNo1=41, itemNo2=1, cost=53
Link406: itemNo1=41, itemNo2=10, cost=69
Link407: itemNo1=41, itemNo2=14, cost=40
Link408: itemNo1=41, itemNo2=17, cost=86
