instance=81,n=200,m=50,d=3,type=B2
BinType:1 cost=412
	no=1, value=35
	no=2, value=58
	no=3, value=83
Item: no=58
	no=1, value=19
	no=2, value=42
	no=3, value=61
Item: no=59
	no=1, value=54
	no=2, value=89
	no=3, value=89
Item: no=60
	no=1, value=49
	no=2, value=87
	no=3, value=50
Item: no=61
	no=1, value=55
	no=2, value=9
	no=3, value=11
Item: no=62
	no=1, value=96
	no=2, value=62
	no=3, value=42
Item: no=63
	no=1, value=31
	no=2, value=99
	no=3, value=56
Item: no=64
	no=1, value=74
	no=2, value=87
	no=3, value=74
Item: no=65
	no=1, value=64
	no=2, value=27
	no=3, value=37
Item: no=66
	no=1, value=98
	no=2, value=56
	no=3, value=31
Item: no=67
	no=1, value=8
	no=2, value=66
	no=3, value=49
Item: no=68
	no=1, value=76
	no=2, value=71
	no=3, value=32
Item: no=69
	no=1, value=57
	no=2, value=26
	no=3, value=94
Item: no=70
	no=1, value=26
	no=2, value=80
	no=3, value=63
Item: no=71
	no=1, value=52
	no=2, value=89
	no=3, value=4
Item: no=72
	no=1, value=3
	no=2, value=44
	no=3, value=86
Item: no=73
	no=1, value=59
	no=2, value=52
	no=3, value=84
Item: no=74
	no=1, value=30
	no=2, value=31
	no=3, value=34
Item: no=75
	no=1, value=96
	no=2, value=69
	no=3, value=57
Item: no=76
	no=1, value=11
	no=2, value=56
	no=3, value=65
Item: no=77
	no=1, value=33
	no=2, value=77
	no=3, value=71
Item: no=78
	no=1, value=72
	no=2, value=29
	no=3, value=44
Item: no=79
	no=1, value=30
	no=2, value=47
	no=3, value=61
Item: no=80
	no=1, value=83
	no=2, value=29
	no=3, value=13
Item: no=81
	no=1, value=20
	no=2, value=59
	no=3, value=82
Item: no=82
	no=1, value=58
	no=2, value=58
	no=3, value=33
Item: no=83
	no=1, value=77
	no=2, value=23
	no=3, value=38
Item: no=84
	no=1, value=76
	no=2, value=13
	no=3, value=2
Item: no=85
	no=1, value=96
	no=2, value=91
	no=3, value=52
Item: no=86
	no=1, value=69
	no=2, value=18
	no=3, value=11
Item: no=87
	no=1, value=37
	no=2, value=85
	no=3, value=39
Item: no=88
	no=1, value=53
	no=2, value=51
	no=3, value=35
Item: no=89
	no=1, value=45
	no=2, value=45
	no=3, value=65
Item: no=90
	no=1, value=12
	no=2, value=7
	no=3, value=60
Item: no=91
	no=1, value=18
	no=2, value=15
	no=3, value=48
Item: no=92
	no=1, value=64
	no=2, value=72
	no=3, value=26
Item: no=93
	no=1, value=88
	no=2, value=68
	no=3, value=44
Item: no=94
	no=1, value=53
	no=2, value=89
	no=3, value=32
Item: no=95
	no=1, value=84
	no=2, value=23
	no=3, value=95
Item: no=96
	no=1, value=30
	no=2, value=71
	no=3, value=21
Item: no=97
	no=1, value=95
	no=2, value=91
	no=3, value=30
Item: no=98
	no=1, value=38
	no=2, value=98
	no=3, value=56
Item: no=99
	no=1, value=56
	no=2, value=47
	no=3, value=73
Item: no=100
	no=1, value=55
	no=2, value=78
	no=3, value=45
Item: no=101
	no=1, value=59
	no=2, value=92
	no=3, value=77
Item: no=102
	no=1, value=32
	no=2, value=53
	no=3, value=43
Item: no=103
	no=1, value=38
	no=2, value=18
	no=3, value=66
Item: no=104
	no=1, value=21
	no=2, value=92
	no=3, value=66
Item: no=105
	no=1, value=37
	no=2, value=97
	no=3, value=65
Item: no=106
	no=1, value=12
	no=2, value=59
	no=3, value=30
Item: no=107
	no=1, value=18
	no=2, value=41
	no=3, value=74
Item: no=108
	no=1, value=92
	no=2, value=32
	no=3, value=70
Item: no=109
	no=1, value=34
	no=2, value=23
	no=3, value=63
Item: no=110
	no=1, value=23
	no=2, value=57
	no=3, value=64
Item: no=111
	no=1, value=31
	no=2, value=68
	no=3, value=2
Item: no=112
	no=1, value=39
	no=2, value=71
	no=3, value=42
Item: no=113
	no=1, value=92
	no=2, value=4
	no=3, value=99
Item: no=114
	no=1, value=13
	no=2, value=63
	no=3, value=48
Item: no=115
	no=1, value=70
	no=2, value=47
	no=3, value=95
Item: no=116
	no=1, value=83
	no=2, value=98
	no=3, value=51
Item: no=117
	no=1, value=2
	no=2, value=49
	no=3, value=44
Item: no=118
	no=1, value=61
	no=2, value=17
	no=3, value=48
Item: no=119
	no=1, value=54
	no=2, value=49
	no=3, value=39
Item: no=120
	no=1, value=92
	no=2, value=49
	no=3, value=66
Item: no=121
	no=1, value=30
	no=2, value=99
	no=3, value=35
Item: no=122
	no=1, value=79
	no=2, value=16
	no=3, value=2
Item: no=123
	no=1, value=8
	no=2, value=88
	no=3, value=76
Item: no=124
	no=1, value=68
	no=2, value=80
	no=3, value=81
Item: no=125
	no=1, value=80
	no=2, value=12
	no=3, value=33
Item: no=126
	no=1, value=93
	no=2, value=67
	no=3, value=7
Item: no=127
	no=1, value=52
	no=2, value=10
	no=3, value=40
Item: no=128
	no=1, value=16
	no=2, value=92
	no=3, value=67
Item: no=129
	no=1, value=78
	no=2, value=48
	no=3, value=64
Item: no=130
	no=1, value=82
	no=2, value=35
	no=3, value=10
Item: no=131
	no=1, value=11
	no=2, value=50
	no=3, value=16
Item: no=132
	no=1, value=65
	no=2, value=63
	no=3, value=68
Item: no=133
	no=1, value=51
	no=2, value=40
	no=3, value=52
Item: no=134
	no=1, value=31
	no=2, value=92
	no=3, value=95
Item: no=135
	no=1, value=53
	no=2, value=77
	no=3, value=72
Item: no=136
	no=1, value=51
	no=2, value=90
	no=3, value=29
Item: no=137
	no=1, value=53
	no=2, value=71
	no=3, value=14
Item: no=138
	no=1, value=60
	no=2, value=14
	no=3, value=65
Item: no=139
	no=1, value=15
	no=2, value=85
	no=3, value=75
Item: no=140
	no=1, value=97
	no=2, value=99
	no=3, value=53
Item: no=141
	no=1, value=53
	no=2, value=53
	no=3, value=5
Item: no=142
	no=1, value=91
	no=2, value=57
	no=3, value=71
Item: no=143
	no=1, value=97
	no=2, value=28
	no=3, value=42
Item: no=144
	no=1, value=14
	no=2, value=55
	no=3, value=22
Item: no=145
	no=1, value=13
	no=2, value=69
	no=3, value=43
Item: no=146
	no=1, value=40
	no=2, value=95
	no=3, value=31
Item: no=147
	no=1, value=74
	no=2, value=4
	no=3, value=30
Item: no=148
	no=1, value=64
	no=2, value=76
	no=3, value=16
Item: no=149
	no=1, value=94
	no=2, value=24
	no=3, value=55
Item: no=150
	no=1, value=87
	no=2, value=51
	no=3, value=34
Item: no=151
	no=1, value=62
	no=2, value=23
	no=3, value=72
Item: no=152
	no=1, value=1
	no=2, value=16
	no=3, value=66
Item: no=153
	no=1, value=99
	no=2, value=74
	no=3, value=98
Item: no=154
	no=1, value=5
	no=2, value=80
	no=3, value=29
Item: no=155
	no=1, value=22
	no=2, value=56
	no=3, value=2
Item: no=156
	no=1, value=96
	no=2, value=90
	no=3, value=5
Item: no=157
	no=1, value=16
	no=2, value=2
	no=3, value=6
Item: no=158
	no=1, value=24
	no=2, value=12
	no=3, value=35
Item: no=159
	no=1, value=86
	no=2, value=23
	no=3, value=1
Item: no=160
	no=1, value=3
	no=2, value=21
	no=3, value=75
Item: no=161
	no=1, value=31
	no=2, value=62
	no=3, value=11
Item: no=162
	no=1, value=94
	no=2, value=50
	no=3, value=94
Item: no=163
	no=1, value=52
	no=2, value=46
	no=3, value=28
Item: no=164
	no=1, value=13
	no=2, value=26
	no=3, value=73
Item: no=165
	no=1, value=2
	no=2, value=52
	no=3, value=66
Item: no=166
	no=1, value=6
	no=2, value=82
	no=3, value=99
Item: no=167
	no=1, value=48
	no=2, value=32
	no=3, value=45
Item: no=168
	no=1, value=50
	no=2, value=62
	no=3, value=78
Item: no=169
	no=1, value=34
	no=2, value=71
	no=3, value=61
Item: no=170
	no=1, value=54
	no=2, value=76
	no=3, value=87
Item: no=171
	no=1, value=72
	no=2, value=13
	no=3, value=57
Item: no=172
	no=1, value=81
	no=2, value=96
	no=3, value=10
Item: no=173
	no=1, value=48
	no=2, value=49
	no=3, value=88
Item: no=174
	no=1, value=84
	no=2, value=36
	no=3, value=99
Item: no=175
	no=1, value=44
	no=2, value=27
	no=3, value=50
Item: no=176
	no=1, value=8
	no=2, value=98
	no=3, value=24
Item: no=177
	no=1, value=50
	no=2, value=5
	no=3, value=84
Item: no=178
	no=1, value=70
	no=2, value=50
	no=3, value=68
Item: no=179
	no=1, value=15
	no=2, value=82
	no=3, value=67
Item: no=180
	no=1, value=35
	no=2, value=22
	no=3, value=5
Item: no=181
	no=1, value=17
	no=2, value=29
	no=3, value=97
Item: no=182
	no=1, value=93
	no=2, value=63
	no=3, value=87
Item: no=183
	no=1, value=73
	no=2, value=68
	no=3, value=18
Item: no=184
	no=1, value=72
	no=2, value=52
	no=3, value=9
Item: no=185
	no=1, value=51
	no=2, value=2
	no=3, value=64
Item: no=186
	no=1, value=38
	no=2, value=49
	no=3, value=6
Item: no=187
	no=1, value=94
	no=2, value=80
	no=3, value=55
Item: no=188
	no=1, value=3
	no=2, value=19
	no=3, value=77
Item: no=189
	no=1, value=26
	no=2, value=1
	no=3, value=31
Item: no=190
	no=1, value=31
	no=2, value=98
	no=3, value=44
Item: no=191
	no=1, value=31
	no=2, value=23
	no=3, value=88
Item: no=192
	no=1, value=62
	no=2, value=88
	no=3, value=84
Item: no=193
	no=1, value=39
	no=2, value=29
	no=3, value=35
Item: no=194
	no=1, value=69
	no=2, value=35
	no=3, value=50
Item: no=195
	no=1, value=49
	no=2, value=33
	no=3, value=41
Item: no=196
	no=1, value=56
	no=2, value=52
	no=3, value=63
Item: no=197
	no=1, value=86
	no=2, value=61
	no=3, value=91
Item: no=198
	no=1, value=12
	no=2, value=40
	no=3, value=41
Item: no=199
	no=1, value=55
	no=2, value=17
	no=3, value=24
Item: no=200
	no=1, value=1
	no=2, value=13
	no=3, value=42
Links between items
Link1: itemNo1=1, itemNo2=3, cost=22
Link2: itemNo1=1, itemNo2=11, cost=24
Link3: itemNo1=1, itemNo2=23, cost=93
Link4: itemNo1=1, itemNo2=26, cost=70
Link5: itemNo1=1, itemNo2=27, cost=94
Link6: itemNo1=1, itemNo2=28, cost=94
Link7: itemNo1=1, itemNo2=31, cost=41
Link8: itemNo1=1, itemNo2=35, cost=69
Link9: itemNo1=1, itemNo2=39, cost=75
Link10: itemNo1=1, itemNo2=40, cost=69
Link11: itemNo1=1, itemNo2=44, cost=45
Link12: itemNo1=1, itemNo2=59, cost=22
Link13: itemNo1=1, itemNo2=62, cost=28
Link14: itemNo1=1, itemNo2=66, cost=74
Link15: itemNo1=1, itemNo2=72, cost=1
Link16: itemNo1=1, itemNo2=73, cost=81
Link17: itemNo1=1, itemNo2=79, cost=46
Link18: itemNo1=1, itemNo2=81, cost=99
Link19: itemNo1=1, itemNo2=83, cost=4
Link20: itemNo1=1, itemNo2=93, cost=75
Link21: itemNo1=1, itemNo2=101, cost=48
Link22: itemNo1=1, itemNo2=108, cost=6
Link23: itemNo1=1, itemNo2=109, cost=79
Link24: itemNo1=1, itemNo2=111, cost=23
Link25: itemNo1=1, itemNo2=115, cost=8
Link26: itemNo1=1, itemNo2=118, cost=33
Link27: itemNo1=1, itemNo2=131, cost=63
Link28: itemNo1=1, itemNo2=132, cost=2
Link29: itemNo1=1, itemNo2=140, cost=4
Link30: itemNo1=1, itemNo2=142, cost=58
Link31: itemNo1=1, itemNo2=150, cost=52
Link32: itemNo1=1, itemNo2=151, cost=23
Link33: itemNo1=1, itemNo2=153, cost=33
Link34: itemNo1=1, itemNo2=157, cost=90
Link35: itemNo1=1, itemNo2=160, cost=50
Link36: itemNo1=1, itemNo2=161, cost=40
Link37: itemNo1=1, itemNo2=175, cost=81
Link38: itemNo1=1, itemNo2=181, cost=30
Link39: itemNo1=1, itemNo2=182, cost=34
Link40: itemNo1=1, itemNo2=187, cost=70
Link41: itemNo1=1, itemNo2=188, cost=53
Link42: itemNo1=1, itemNo2=191, cost=75
Link43: itemNo1=1, itemNo2=195, cost=26
Link44: itemNo1=1, itemNo2=199, cost=53
Link45: itemNo1=1, itemNo2=200, cost=18
Link46: itemNo1=2, itemNo2=3, cost=91
Link47: itemNo1=2, itemNo2=9, cost=15
Link48: itemNo1=2, itemNo2=20, cost=11
Link49: itemNo1=2, itemNo2=23, cost=53
Link50: itemNo1=2, itemNo2=28, cost=6
Link51: itemNo1=2, itemNo2=34, cost=99
Link52: itemNo1=2, itemNo2=35, cost=73
Link53: itemNo1=2, itemNo2=48, cost=50
Link54: itemNo1=2, itemNo2=50, cost=2
Link55: itemNo1=2, itemNo2=54, cost=98
Link56: itemNo1=2, itemNo2=55, cost=30
Link57: itemNo1=2, itemNo2=60, cost=63
Link58: itemNo1=2, itemNo2=65, cost=22
Link59: itemNo1=2, itemNo2=81, cost=88
Link60: itemNo1=2, itemNo2=89, cost=68
Link61: itemNo1=2, itemNo2=92, cost=80
Link62: itemNo1=2, itemNo2=93, cost=6
Link63: itemNo1=2, itemNo2=97, cost=98
Link64: itemNo1=2, itemNo2=99, cost=98
Link65: itemNo1=2, itemNo2=103, cost=76
Link66: itemNo1=2, itemNo2=105, cost=96
Link67: itemNo1=2, itemNo2=116, cost=67
Link68: itemNo1=2, itemNo2=117, cost=85
Link69: itemNo1=2, itemNo2=119, cost=86
Link70: itemNo1=2, itemNo2=121, cost=88
Link71: itemNo1=2, itemNo2=122, cost=78
Link72: itemNo1=2, itemNo2=123, cost=10
Link73: itemNo1=2, itemNo2=127, cost=10
Link74: itemNo1=2, itemNo2=128, cost=53
Link75: itemNo1=2, itemNo2=138, cost=22
Link76: itemNo1=2, itemNo2=144, cost=35
Link77: itemNo1=2, itemNo2=149, cost=22
Link78: itemNo1=2, itemNo2=155, cost=24
Link79: itemNo1=2, itemNo2=162, cost=30
Link80: itemNo1=2, itemNo2=177, cost=44
Link81: itemNo1=2, itemNo2=178, cost=96
Link82: itemNo1=2, itemNo2=184, cost=90
Link83: itemNo1=2, itemNo2=186, cost=32
Link84: itemNo1=2, itemNo2=188, cost=75
Link85: itemNo1=2, itemNo2=191, cost=21
Link86: itemNo1=2, itemNo2=196, cost=61
Link87: itemNo1=2, itemNo2=199, cost=62
Link88: itemNo1=3, itemNo2=8, cost=9
Link89: itemNo1=3, itemNo2=11, cost=95
Link90: itemNo1=3, itemNo2=12, cost=27
Link91: itemNo1=3, itemNo2=16, cost=86
Link92: itemNo1=3, itemNo2=21, cost=6
Link93: itemNo1=3, itemNo2=27, cost=27
Link94: itemNo1=3, itemNo2=30, cost=53
Link95: itemNo1=3, itemNo2=32, cost=86
Link96: itemNo1=3, itemNo2=38, cost=46
Link97: itemNo1=3, itemNo2=39, cost=17
Link98: itemNo1=3, itemNo2=41, cost=65
Link99: itemNo1=3, itemNo2=55, cost=67
Link100: itemNo1=3, itemNo2=61, cost=89
Link101: itemNo1=3, itemNo2=67, cost=21
Link102: itemNo1=3, itemNo2=68, cost=43
Link103: itemNo1=3, itemNo2=70, cost=41
Link104: itemNo1=3, itemNo2=76, cost=64
Link105: itemNo1=3, itemNo2=79, cost=72
Link106: itemNo1=3, itemNo2=80, cost=79
Link107: itemNo1=3, itemNo2=84, cost=40
Link108: itemNo1=3, itemNo2=90, cost=12
Link109: itemNo1=3, itemNo2=103, cost=56
Link110: itemNo1=3, itemNo2=115, cost=95
Link111: itemNo1=3, itemNo2=123, cost=40
Link112: itemNo1=3, itemNo2=124, cost=40
Link113: itemNo1=3, itemNo2=125, cost=6
Link114: itemNo1=3, itemNo2=134, cost=27
Link115: itemNo1=3, itemNo2=141, cost=71
Link116: itemNo1=3, itemNo2=143, cost=82
Link117: itemNo1=3, itemNo2=146, cost=47
Link118: itemNo1=3, itemNo2=149, cost=39
Link119: itemNo1=3, itemNo2=150, cost=85
Link120: itemNo1=3, itemNo2=151, cost=23
Link121: itemNo1=3, itemNo2=155, cost=89
Link122: itemNo1=3, itemNo2=160, cost=49
Link123: itemNo1=3, itemNo2=165, cost=88
Link124: itemNo1=3, itemNo2=172, cost=35
Link125: itemNo1=3, itemNo2=187, cost=68
Link126: itemNo1=4, itemNo2=1, cost=42
Link127: itemNo1=4, itemNo2=6, cost=14
Link128: itemNo1=4, itemNo2=7, cost=40
Link129: itemNo1=4, itemNo2=14, cost=30
Link130: itemNo1=4, itemNo2=18, cost=94
Link131: itemNo1=4, itemNo2=20, cost=48
Link132: itemNo1=4, itemNo2=28, cost=57
Link133: itemNo1=4, itemNo2=31, cost=62
Link134: itemNo1=4, itemNo2=36, cost=13
Link135: itemNo1=4, itemNo2=45, cost=32
Link136: itemNo1=4, itemNo2=49, cost=52
Link137: itemNo1=4, itemNo2=52, cost=3
Link138: itemNo1=4, itemNo2=55, cost=4
Link139: itemNo1=4, itemNo2=60, cost=87
Link140: itemNo1=4, itemNo2=65, cost=61
Link141: itemNo1=4, itemNo2=74, cost=87
Link142: itemNo1=4, itemNo2=83, cost=76
Link143: itemNo1=4, itemNo2=89, cost=32
Link144: itemNo1=4, itemNo2=94, cost=72
Link145: itemNo1=4, itemNo2=95, cost=47
Link146: itemNo1=4, itemNo2=96, cost=69
Link147: itemNo1=4, itemNo2=99, cost=74
Link148: itemNo1=4, itemNo2=106, cost=8
Link149: itemNo1=4, itemNo2=110, cost=31
Link150: itemNo1=4, itemNo2=122, cost=83
Link151: itemNo1=4, itemNo2=124, cost=16
Link152: itemNo1=4, itemNo2=127, cost=98
Link153: itemNo1=4, itemNo2=155, cost=96
Link154: itemNo1=4, itemNo2=161, cost=18
Link155: itemNo1=4, itemNo2=163, cost=75
Link156: itemNo1=4, itemNo2=167, cost=77
Link157: itemNo1=4, itemNo2=198, cost=70
Link158: itemNo1=5, itemNo2=1, cost=89
Link159: itemNo1=5, itemNo2=11, cost=15
Link160: itemNo1=5, itemNo2=13, cost=57
Link161: itemNo1=5, itemNo2=15, cost=35
Link162: itemNo1=5, itemNo2=28, cost=3
Link163: itemNo1=5, itemNo2=29, cost=70
Link164: itemNo1=5, itemNo2=36, cost=19
Link165: itemNo1=5, itemNo2=40, cost=72
Link166: itemNo1=5, itemNo2=44, cost=61
Link167: itemNo1=5, itemNo2=46, cost=69
Link168: itemNo1=5, itemNo2=52, cost=36
Link169: itemNo1=5, itemNo2=66, cost=5
Link170: itemNo1=5, itemNo2=72, cost=44
Link171: itemNo1=5, itemNo2=75, cost=68
Link172: itemNo1=5, itemNo2=76, cost=85
Link173: itemNo1=5, itemNo2=78, cost=70
Link174: itemNo1=5, itemNo2=79, cost=80
Link175: itemNo1=5, itemNo2=80, cost=2
Link176: itemNo1=5, itemNo2=82, cost=81
Link177: itemNo1=5, itemNo2=83, cost=56
Link178: itemNo1=5, itemNo2=86, cost=69
Link179: itemNo1=5, itemNo2=95, cost=94
Link180: itemNo1=5, itemNo2=105, cost=46
Link181: itemNo1=5, itemNo2=109, cost=18
Link182: itemNo1=5, itemNo2=112, cost=73
Link183: itemNo1=5, itemNo2=116, cost=79
Link184: itemNo1=5, itemNo2=122, cost=21
Link185: itemNo1=5, itemNo2=124, cost=39
Link186: itemNo1=5, itemNo2=142, cost=90
Link187: itemNo1=5, itemNo2=146, cost=1
Link188: itemNo1=5, itemNo2=160, cost=1
Link189: itemNo1=5, itemNo2=177, cost=59
Link190: itemNo1=5, itemNo2=182, cost=72
Link191: itemNo1=6, itemNo2=7, cost=61
Link192: itemNo1=6, itemNo2=16, cost=4
Link193: itemNo1=6, itemNo2=25, cost=3
Link194: itemNo1=6, itemNo2=31, cost=35
Link195: itemNo1=6, itemNo2=32, cost=46
Link196: itemNo1=6, itemNo2=48, cost=82
Link197: itemNo1=6, itemNo2=49, cost=75
Link198: itemNo1=6, itemNo2=51, cost=96
Link199: itemNo1=6, itemNo2=58, cost=62
Link200: itemNo1=6, itemNo2=61, cost=96
Link201: itemNo1=6, itemNo2=66, cost=49
Link202: itemNo1=6, itemNo2=67, cost=74
Link203: itemNo1=6, itemNo2=72, cost=33
Link204: itemNo1=6, itemNo2=73, cost=73
Link205: itemNo1=6, itemNo2=76, cost=49
Link206: itemNo1=6, itemNo2=77, cost=31
Link207: itemNo1=6, itemNo2=88, cost=35
Link208: itemNo1=6, itemNo2=90, cost=16
Link209: itemNo1=6, itemNo2=93, cost=46
